"","Target","Molecule","Scaffold"
"209","TSPO","QMMGEIMAWWFSFZ-UHFFFAOYSA-N","Sca771"
"210","TSPO","IFKFLMNAIVKEHR-UHFFFAOYSA-N","Sca47723"
"211","TSPO","OYYWZOCFFUKRPC-UHFFFAOYSA-N","Sca771"
"212","TSPO","ZVDVQPLDTTXLKI-LSKWOKDISA-N","Sca771"
"213","TSPO","IAXWXPQCYMVMDH-UHFFFAOYSA-N","Sca69453"
"214","TSPO","FQRMHEHVTLSROY-UHFFFAOYSA-N","Sca6944"
"215","TSPO","ADKKDJXZPFFDMD-UHFFFAOYSA-N","Sca71538"
"216","TSPO","FBAAYEDZAUPUGL-UHFFFAOYSA-N","Sca69453"
"217","TSPO","QEJHOFPSTGEQRL-UHFFFAOYSA-N","Sca4237"
"218","TSPO","PCAVTEZGSYPHGB-UHFFFAOYSA-N","Sca771"
"219","TSPO","IJRQUBJZWGLISZ-UHFFFAOYSA-N","Sca69453"
"220","TSPO","NIDPCGXDRRILBS-UHFFFAOYSA-N","Sca69453"
"221","TSPO","RFVUCJJSCWRYIR-UHFFFAOYSA-N","Sca6944"
"222","TSPO","AMAZBTQKHYNHBZ-UHFFFAOYSA-N","Sca6944"
"223","TSPO","FMJMFAYUNUEUSC-UHFFFAOYSA-N","Sca69453"
"224","TSPO","QPYIMMXNDOXRLS-UHFFFAOYSA-N","Sca69453"
"225","TSPO","JEEMPXDTVZNAKY-UHFFFAOYSA-N","Sca565"
"226","TSPO","UZKHZSTUQXRUJW-UHFFFAOYSA-N","Sca69453"
"227","TSPO","IJOAKTDOROJPJV-UHFFFAOYSA-N","Sca47723"
"228","TSPO","XTARLFSAXRGTDF-UHFFFAOYSA-N","Sca71538"
"229","TSPO","ZVDVQPLDTTXLKI-VWBUEPEUSA-N","Sca771"
"230","TSPO","GJOXPERCMDUMRY-UHFFFAOYSA-N","Sca15427"
"231","TSPO","LPTQQHWFDGRYJV-UHFFFAOYSA-N","Sca69453"
"232","TSPO","RPTPJEUHLRSHME-UHFFFAOYSA-N","Sca69453"
"233","TSPO","COHJPHMQYOPHPC-UHFFFAOYSA-N","Sca6944"
"234","TSPO","JLPMYONMQRJJSS-UHFFFAOYSA-N","Sca47723"
"235","TSPO","KAQBDGZMPFIGFI-UHFFFAOYSA-N","Sca771"
"236","TSPO","OZGGBPYLCONICH-UHFFFAOYSA-N","Sca47723"
"237","TSPO","CSWQEZJPOVECNM-UHFFFAOYSA-N","Sca69453"
"238","TSPO","COBNEDJREBZQNL-UHFFFAOYSA-N","Sca69453"
"239","TSPO","KMVCCYAPFSUDPB-UHFFFAOYSA-N","Sca69453"
"240","TSPO","VCWCTWCTLHIDMW-UHFFFAOYSA-N","Sca6944"
"241","TSPO","QADKGESFRPHMRQ-UHFFFAOYSA-N","Sca69453"
"242","TSPO","VSERNPMKKDYMTG-UHFFFAOYSA-N","Sca771"
"243","TSPO","HVTDZMXLBOBLOO-UHFFFAOYSA-N","Sca6944"
"244","TSPO","OXJAIYUOGTVKNT-UHFFFAOYSA-N","Sca69453"
"245","TSPO","CREZVEBWPAIMPN-UHFFFAOYSA-N","Sca4237"
"246","TSPO","MFGRJRNLZPYFGT-UHFFFAOYSA-N","Sca4237"
"247","TSPO","PNYNMZGBFYRYDR-UHFFFAOYSA-N","Sca6944"
"248","TSPO","KKRWEGYWRZERQV-UHFFFAOYSA-N","Sca6944"
"249","TSPO","LBMZKDWYSYFNER-UHFFFAOYSA-N","Sca69453"
"250","TSPO","HGLLKLAWIRKNPN-UHFFFAOYSA-N","Sca69453"
"251","TSPO","BJYPWPFNMWVQLP-UHFFFAOYSA-N","Sca771"
"252","TSPO","XICRODIMJLZTJP-UHFFFAOYSA-N","Sca771"
"253","TSPO","NZIYXDPUJYAIRB-UHFFFAOYSA-N","Sca6944"
"254","TSPO","QJLZJESMFQBPJH-UHFFFAOYSA-N","Sca771"
"255","TSPO","XXDBCUJRUIBMAN-UHFFFAOYSA-N","Sca565"
"256","TSPO","BGLJZGMDUTWQNZ-UHFFFAOYSA-N","Sca6944"
"257","TSPO","GNESCJGWXGGGMS-UHFFFAOYSA-N","Sca69453"
"258","TSPO","FFJUZLSTYFQXEM-UHFFFAOYSA-N","Sca69453"
"259","TSPO","AMCHMCFQZZZVHL-UHFFFAOYSA-N","Sca771"
"260","TSPO","VWCQIIUQPHDCEX-UHFFFAOYSA-N","Sca69453"
"261","TSPO","SXUZXNFBYGVZCD-UHFFFAOYSA-N","Sca771"
"262","TSPO","HFQUWZYJKYAJBG-UHFFFAOYSA-N","Sca69453"
"263","TSPO","ZVDVQPLDTTXLKI-UHFFFAOYSA-N","Sca771"
"264","TSPO","DVIKDTJZNOPQRK-UHFFFAOYSA-N","Sca47723"
"265","TSPO","ZBEGUIHUCNDWJY-UHFFFAOYSA-N","Sca565"
